0.000000e+00 0.000000e+00 -3.262923e-04
9.999000e-05 2.198830e-03 1.871607e-03
1.999800e-04 4.397273e-03 4.069112e-03
2.999700e-04 6.594940e-03 6.265839e-03
3.999600e-04 8.791445e-03 8.461403e-03
4.999500e-04 1.098640e-02 1.065542e-02
5.999400e-04 1.317942e-02 1.284751e-02
6.999300e-04 1.537011e-02 1.503729e-02
7.999200e-04 1.755810e-02 1.722436e-02
8.999100e-04 1.974299e-02 1.940836e-02
9.999000e-04 2.192441e-02 2.158890e-02
1.099890e-03 2.410197e-02 2.376559e-02
1.199880e-03 2.627528e-02 2.593805e-02
1.299870e-03 2.844396e-02 2.810591e-02
1.399860e-03 3.060764e-02 3.026879e-02
1.499850e-03 3.276594e-02 3.242630e-02
1.599840e-03 3.491848e-02 3.457807e-02
1.699830e-03 3.706487e-02 3.672373e-02
1.799820e-03 3.920476e-02 3.886289e-02
1.899810e-03 4.133776e-02 4.099520e-02
1.999800e-03 4.346350e-02 4.312026e-02
2.099790e-03 4.558161e-02 4.523772e-02
2.199780e-03 4.769173e-02 4.734721e-02
2.299770e-03 4.979348e-02 4.944836e-02
2.399760e-03 5.188652e-02 5.154081e-02
2.499750e-03 5.397046e-02 5.362419e-02
2.599740e-03 5.604496e-02 5.569815e-02
2.699730e-03 5.810966e-02 5.776233e-02
2.799720e-03 6.016420e-02 5.981637e-02
2.899710e-03 6.220823e-02 6.185992e-02
2.999700e-03 6.424141e-02 6.389263e-02
3.099690e-03 6.626337e-02 6.591415e-02
3.199680e-03 6.827379e-02 6.792414e-02
3.299670e-03 7.027232e-02 6.992225e-02
3.399660e-03 7.225861e-02 7.190816e-02
3.499650e-03 7.423235e-02 7.388151e-02
3.599640e-03 7.619318e-02 7.584198e-02
3.699630e-03 7.814079e-02 7.778924e-02
3.799620e-03 8.007485e-02 7.972296e-02
3.899610e-03 8.199503e-02 8.164282e-02
3.999600e-03 8.390103e-02 8.354850e-02
4.099590e-03 8.579251e-02 8.543968e-02
4.199580e-03 8.766917e-02 8.731605e-02
4.299570e-03 8.953070e-02 8.917730e-02
4.399560e-03 9.137680e-02 9.102313e-02
4.499550e-03 9.320717e-02 9.285324e-02
4.599540e-03 9.502151e-02 9.466732e-02
4.699530e-03 9.681952e-02 9.646508e-02
4.799520e-03 9.860092e-02 9.824625e-02
4.899510e-03 1.003654e-01 1.000105e-01
4.999500e-03 1.021127e-01 1.017576e-01
5.099490e-03 1.038426e-01 1.034873e-01
5.199480e-03 1.055548e-01 1.051992e-01
5.299470e-03 1.072489e-01 1.068931e-01
5.399460e-03 1.089248e-01 1.085688e-01
5.499450e-03 1.105822e-01 1.102260e-01
5.599440e-03 1.122208e-01 1.118644e-01
5.699430e-03 1.138404e-01 1.134838e-01
5.799420e-03 1.154407e-01 1.150840e-01
5.899410e-03 1.170215e-01 1.166646e-01
5.999400e-03 1.185826e-01 1.182255e-01
6.099390e-03 1.201237e-01 1.197664e-01
6.199380e-03 1.216446e-01 1.212872e-01
6.299370e-03 1.231451e-01 1.227875e-01
6.399360e-03 1.246249e-01 1.242672e-01
6.499350e-03 1.260840e-01 1.257261e-01
6.599340e-03 1.275219e-01 1.271639e-01
6.699330e-03 1.289386e-01 1.285805e-01
6.799320e-03 1.303339e-01 1.299757e-01
6.899310e-03 1.317076e-01 1.313492e-01
6.999300e-03 1.330594e-01 1.327009e-01
7.099290e-03 1.343892e-01 1.340306e-01
7.199280e-03 1.356969e-01 1.353382e-01
7.299270e-03 1.369822e-01 1.366234e-01
7.399260e-03 1.382450e-01 1.378861e-01
7.499250e-03 1.394852e-01 1.391262e-01
7.599240e-03 1.407025e-01 1.403435e-01
7.699230e-03 1.418970e-01 1.415378e-01
7.799220e-03 1.430683e-01 1.427091e-01
7.899210e-03 1.442163e-01 1.438571e-01
7.999200e-03 1.453411e-01 1.449818e-01
8.099190e-03 1.464423e-01 1.460830e-01
8.199180e-03 1.475200e-01 1.471606e-01
8.299170e-03 1.485739e-01 1.482145e-01
8.399160e-03 1.496040e-01 1.492446e-01
8.499150e-03 1.506102e-01 1.502508e-01
8.599140e-03 1.515924e-01 1.512331e-01
8.699130e-03 1.525505e-01 1.521912e-01
8.799120e-03 1.534845e-01 1.531252e-01
8.899110e-03 1.543942e-01 1.540349e-01
8.999100e-03 1.552795e-01 1.549203e-01
9.099090e-03 1.561405e-01 1.557814e-01
9.199080e-03 1.569770e-01 1.566180e-01
9.299070e-03 1.577890e-01 1.574301e-01
9.399060e-03 1.585765e-01 1.582177e-01
9.499050e-03 1.593394e-01 1.589807e-01
9.599040e-03 1.600777e-01 1.597191e-01
9.699030e-03 1.607914e-01 1.604329e-01
9.799020e-03 1.614803e-01 1.611221e-01
9.899010e-03 1.621446e-01 1.617866e-01
9.999000e-03 1.627842e-01 1.624264e-01
1.009899e-02 1.633992e-01 1.630415e-01
1.019898e-02 1.639894e-01 1.636319e-01
1.029897e-02 1.645549e-01 1.641977e-01
1.039896e-02 1.650958e-01 1.647388e-01
1.049895e-02 1.656120e-01 1.652553e-01
1.059894e-02 1.661037e-01 1.657472e-01
1.069893e-02 1.665707e-01 1.662145e-01
1.079892e-02 1.670132e-01 1.666573e-01
1.089891e-02 1.674311e-01 1.670755e-01
1.099890e-02 1.678247e-01 1.674694e-01
1.109889e-02 1.681938e-01 1.678389e-01
1.119888e-02 1.685386e-01 1.681840e-01
1.129887e-02 1.688592e-01 1.685049e-01
1.139886e-02 1.691555e-01 1.688016e-01
1.149885e-02 1.694278e-01 1.690743e-01
1.159884e-02 1.696760e-01 1.693229e-01
1.169883e-02 1.699003e-01 1.695476e-01
1.179882e-02 1.701008e-01 1.697485e-01
1.189881e-02 1.702776e-01 1.699257e-01
